,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
266,Washington State University (WSU),Computer Science,24400.0,1.29,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,-119.2688,46.3252
267,University of Florida (UF),Geological Sciences,26780.0,1.18,2020-2021,1st,In addition to tuition waiver. Overall pay doesn't include $10 per month for health insurance and graduate fees (~$1000-1400 per year). ,-81.197224,28.605102
268,University of Southern California (USC),Linguistics,30500.0,1.18,2020-2021,1st,,-118.14106,34.146771
269,Massachusetts Institute of Technology (MIT),,40000.0,1.43,2019-2020,1st,,-71.0935805,42.358984
271,University of North Texas (UNT),Accounting,22600.0,1.05,2020-2021,1st,,-97.148998,33.2107285
272,Temple University (TU),Physics,28980.0,1.2,2019-2020,1st,University fellowship,-75.156314,39.97922
273,University of Notre Dame (ND),History ,23000.0,1.12,2020-2021,4th,,151.218944,-33.88136
274,"University of Michigan , Ann Arbor (UM)",Aerospace ,32700.0,1.42,2020-2021,,,-83.73849799999999,42.2771875
276,"University of Michigan , Ann Arbor (UM)",Program in Biomedical Sciences,32739.0,1.42,2020-2021,1st,,-83.73849799999999,42.2771875
277,"University of Michigan , Ann Arbor (UM)",EE PhD,32668.0,1.42,2020-2021,4th,Stipend only,-83.73849799999999,42.2771875
278,Florida State University (FSU),Religious Studies,16750.0,0.72,2020-2021,1st,,-84.298289,30.444751
279,Clemson University (CU),Computer Science,27000.0,1.3,2020-2021,1st,,-74.08083,4.59889
280,George Washington University (GW),Spanish ,14560.0,0.47,2020-2021,1st,,-77.046676,38.900132
281,"University of Michigan , Ann Arbor (UM)",Biomedical Engineering,32670.0,1.42,2020-2021,1st,,-83.73849799999999,42.2771875
282,"Southern Illinois University , Carbondale (SIUC)",Phd Matketing,16000.0,0.8,2020-2021,1st,I am starting PhD in Marketing from this Fall. Only comment is I wonder why the funding is so less. My friends in Nebraska are paid more than what I will be getting. I wonder if there is any chance the stipend would increase.,-89.224163,37.705418
283,"University of Michigan , Ann Arbor (UM)",Mechanical Engineering,32670.0,1.42,2020-2021,1st,,-83.73849799999999,42.2771875
284,Northwestern University (NU),Health Sciences Integrated PhD Program,33504.0,1.38,2020-2021,1st,,-87.681944,42.050146
285,,Industrial and manufacturing engineering ,12500.0,,2019-2020,1st,,,
286,North Dakota State University (NDSU),Industrial and manufacturing engineering ,12500.0,0.65,2019-2020,1st,,-96.803713,46.902255
287,"University of Wisconsin , Madison (UW)",Chemistry,26450.0,1.16,2020-2021,1st,,-89.408095,43.073243500000004
289,Idaho State University (ISU),Biological Sciences,15863.0,0.84,2020-2021,4th,,-112.433141,42.86451
290,University of Vermont (UVM),Natural Resources,24947.0,0.96,2019-2020,1st,,-73.1972305,44.477892999999995
291,Miami University (MU),Geography,13000.0,0.67,2020-2021,1st,,-84.72928300000001,39.5009845
292,University of Cincinnati (UC),Political Science,17000.0,0.88,2020-2021,1st,,-84.515631,39.1319205
293,"University of California , Los Angeles (UCLA)",Sociology,28000.0,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",-118.444563,34.071048
294, University of California Merced,Physics,28624.0,,2020-2021,,"As a foreign national citizen, this funding offer includes full coverage each semester of in-state tuition, student services fees, student health insurance plan fees, in addition to dental, vision and wellness benefits. You will also receive full coverage of Non-Resident Supplemental Tuition (NRST) for up to six semesters prior to advancement to candidacy. After advancement to candidacy, NRST will be waived for up to six semesters. Final determination of residency status is made by the Office of the Registrar after review of residency documentation.
Salary/Stipend = $28,924,
Tuition & Fees = $15,540 
NRST = $15,102
Total = $59,566",-120.4276265,37.364650999999995
295,Colorado School of Mines,materials science,30000.0,1.34,2020-2021,1st,,-105.22265999999999,39.7503565
296,Florida International University (FIU),Management information systems,24810.0,1.04,2020-2021,1st,,-80.37785450000001,25.75261375
298,San Diego State University (SDSU),Computational Science,21000.0,0.79,2020-2021,1st,,-90.676855,35.839503
299,"University of Michigan , Ann Arbor (UM)",earth and environmental science,32668.0,1.42,2020-2021,1st,,-83.73849799999999,42.2771875
300,New York University (NYU),Economics (Stern),35950.0,1.21,2019-2020,1st,"Paid over 11 months, no funding in 6th year.",-73.9621555,40.807559499999996
301,"University at Buffalo , SUNY",Political Science,32500.0,1.55,2020-2021,1st,20k base then 12.5k additional Schomberg fellowship,103.776405,1.328776
302,University of Florida (UF),Anthropology,31000.0,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",-81.197224,28.605102
303,"University of California , San Diego (UCSD)",Bioinformatics and Systems Biology,33000.0,1.25,2019-2020,3rd,,-122.0575945,36.9901525
306,"University of Minnesota , Twin Cities (UM)",Land and Atmospheric Science (LAAS),23935.0,1.04,2020-2021,1st,"Required fees ""may run as high as $920/semester"". ",51.4,25.42
307,Indiana University,Anthropology,13024.0,0.6,2019-2020,2nd,,-86.520913,39.16719
308,Princeton University,philosophy,35500.0,1.4,2020-2021,1st,,-74.65832225,40.3451335
309,Baylor University (BU),Mechanical Engineering,24000.0,1.21,2020-2021,1st,Insurance is partially or fully waived. Tuition is waived; figure mentioned here doesn't include tuition.,-78.85,42.93
310,,,18000.0,,2020-2021,,,,
311,"University of California , Davis (UCD)",Psychology,26546.0,1.11,2020-2021,,,-121.75182699999999,38.539555
312,Tulane University (TU),Biomedical engineering,30000.0,1.3,2020-2021,1st,,-87.55,33.21
313,"Purdue University , West Lafayette",Economics,23500.0,1.11,2019-2020,1st,,-86.92597925,40.426348000000004
314,"Stony Brook University , SUNY",Civil Engineering,24000.0,0.86,2020-2021,1st,,-73.124151,40.914502
315,"University of California , Los Angeles (UCLA)",Theater and Performance,25750.0,1.0,2020-2021,1st,"In addition to tuition, fee and insurance",-118.444563,34.071048
316,,PIBS/ Microbiology & Immunology,32700.0,,2020-2021,2nd,Im guaranteed full support for the duration of my Ph.D.  The listed amount does not include the tuition paid on my behalf to the university by my program. I also receive healthcare and dental benefits at no cost to me. ,,
318,"University of Michigan , Ann Arbor (UM)",PIBS/ Microbiology & Immunology,32700.0,1.42,2020-2021,2nd,Im guaranteed full support for the duration of my Ph.D.  ,-83.73849799999999,42.2771875
319,"University at Buffalo , SUNY",Geology,15500.0,0.74,2020-2021,,,103.776405,1.328776
320,University of Arizona (U of A),Systems and Industrial Engineering  ,17800.0,0.86,2020-2021,1st,,-110.944859,32.224454
321,National Institutes of Health (NIH),GPP,34900.0,1.15,2020-2021,1st,,-77.099131,39.004425
322,"University of Louisiana , Lafayette",Computer Science PhD,14950.0,0.71,2019-2020,1st,,-92.01738800000001,30.213642999999998
323,"University of Minnesota , Twin Cities (UM)",Health services Research ,29000.0,1.27,2020-2021,1st,,51.4,25.42
324,UCLA,Political Science,24000.0,,2019-2020,3rd,,-118.444563,34.071048
325,,Chemistry and Biochemistry,25700.0,,2019-2020,2nd,,,
326,University of Delaware (UD),Chemistry and Biochemistry,25700.0,1.01,2019-2020,2nd,,-75.74845024999999,39.679881249999994
327,"University of Wisconsin , Milwaukee (UWM)",Mechanical Engineering,11150.0,0.52,2019-2020,2nd,Mandatory services fees,-87.885015,43.077074
328,"University of Nevada , Reno (UNR)",Computer Science ,19000.0,0.9,2020-2021,2nd,,-116.598821819119,40.0711202976
329,Washington State University (WSU),Engineering and Computer Science,15000.0,0.79,2019-2020,2nd,,-119.2688,46.3252
330,University of Arizona (U of A),Computer Science,23200.0,1.12,2019-2020,4th,"The amounts mentioned are estimates. 9 months pay is at 0.50 FTE, either from TA or RA (GA). Summer pay is not confirmed and may come from summer teaching or RA. Salary increases about 5% after Comprehensive Exam. Required fees include: mandatory fee for fall+spring semesters and international student services fees.",-110.944859,32.224454
331,"University at Albany , SUNY",Education Policy and Leadership,18000.0,0.79,2020-2021,1st,,-73.749616,42.648305
332,University of Connecticut (UConn),Chemistry,26393.0,1.08,2019-2020,3rd,Full TA assignment. Second level of pay scale. ,-72.2481995,41.807010500000004
333,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering (ECE),22860.0,0.98,2020-2021,1st,"ECE Fellowship of 3000 / first year+ 1980 per month GTA. The stipend will increase upon receiving a GRA.  Funding for Fall, Spring and Summer of first year, after which the studnent is expected to get a GRA.",-84.3926795,33.78023525
334,"University of Texas , Austin (UT)",Mathematics,34000.0,1.49,2020-2021,1st,,-97.734734,30.269594
335,University of Pennsylvania,Bioengineering,34500.0,1.43,2019-2020,3rd,,-75.191259,39.9492625
336,"Rutgers the State University of New Jersey , New Brunswick",Philosophy,38376.0,1.49,2020-2021,1st,health insurance and tuition included,-74.447763,40.50005625
337,Pennsylvania State University (Penn State),Geography,41270.0,1.84,2020-2021,1st,,-77.86414400000001,40.801520749999995
338,"Louisiana State University , Baton Rouge",Communication Studies,15050.0,0.69,2020-2021,1st,,-91.178322,30.414605
339,University of Southern California (USC),Epidemiology,36000.0,1.39,2020-2021,1st,,-118.14106,34.146771
340,University of Florida (UF),College of Medicine,28400.0,1.25,2020-2021,1st,,-81.197224,28.605102
342,"University of Wisconsin , Madison (UW)",Nuclear Engineering,26533.0,1.16,2020-2021,1st,,-89.408095,43.073243500000004
343,Washington State University (WSU),civil and environmental engineering department,18748.0,0.99,2020-2021,1st,,-119.2688,46.3252
344,"Stony Brook University , SUNY",Computer Science,20000.0,0.72,2020-2021,1st,,-73.124151,40.914502
345,USC,ECE,32000.0,,2020-2021,,,-46.5611705,-23.6173355
346,New York University (NYU),stern business,36500.0,1.23,2020-2021,1st,two year of discounted housing,-73.9621555,40.807559499999996
347,"University at Albany , SUNY",Psychology ,18000.0,0.79,2020-2021,1st,,-73.749616,42.648305
348,University of Virginia (UVA),Spanish,24000.0,1.05,2020-2021,,,-78.5039985,38.035165
349,University of Notre Dame (ND),Civil and Environmental Engineering and Earth Sciences,29720.0,1.45,2019-2020,1st,,151.218944,-33.88136
350,University of Pennsylvania,Computer and Information Science,35000.0,1.45,2020-2021,2nd,,-75.191259,39.9492625
351,Iowa State University (ISU),civil engineering,25104.0,1.18,2020-2021,1st,,-93.632669,42.006866
352,"Texas A&M University , Kingsville",Environmental Engineering ,15000.0,,2020-2021,2nd,"Students have to pay instate tuition, part of health insurance and fees. Instate tuition per credit is around $450.",-97.88241249999999,27.5248135
353,"University of Maryland , Baltimore County (UMBC)",Electrical Engineering and Computer Science,19900.0,0.77,2020-2021,1st,,-76.707353,39.252183
354,University of Iowa (UI),Civil and Environmental Engineering ,29000.0,1.31,2020-2021,1st,"Tuition, fee and insurance are waived. Funding is given for four years. Conditions: 3.00+ gpa, good recommendation from supervisor about research.",-91.580951,41.674908
355,"Stony Brook University , SUNY",Computer Science,28200.0,1.01,2020-2021,1st,,-73.124151,40.914502
356,Texas A&M University,Mathematics,24600.0,,2020-2021,1st,12 month support guaranteed for the first year,-96.34213299999999,30.614044
357,"Purdue University , West Lafayette",PULSe,25400.0,1.2,2020-2021,1st,,-86.92597925,40.426348000000004
358,"Texas A&M University , College Station",Education Administration ,21000.0,,2020-2021,1st,,-96.34213299999999,30.614044
359,Northwestern University (NU),,34000.0,1.4,2019-2020,3rd,,-87.681944,42.050146
360,,Educational Studies and Human Ecology ,26316.0,,2020-2021,1st,,,
361,Ohio State University (OSU),Educational Studies and Human Ecology ,26316.0,1.31,2020-2021,1st,,-83.029862,40.020121
362,University of Florida (UF),Religion,17000.0,0.75,2020-2021,,Fees for course materials and health insurance.,-81.197224,28.605102
363,"University of North Carolina , Chapel Hill (UNC)",Health Behavior,15700.0,0.71,2020-2021,1st,Fees covered.,-79.049486,35.9083286875
364,Vanderbilt University,Health Policy,32000.0,1.39,2020-2021,1st,,-86.80421050000001,36.146879999999996
365,"University of Nevada , Las Vegas (UNLV)",Electrical and Computer Engineering ,14500.0,0.64,2020-2021,3rd,"The gross pay quoted above is for TAs for ten months. RAs usually get higher pay than this (up to $2000) for ten months. During summer, RAs get up $2,200.",-115.141826,36.107638
366,"University of California , Irvine (UCI)",Sociology,26997.0,0.92,2020-2021,1st,NEGOTIATE. Amount includes additional first year summer funding from negotiations (and first quarter fellowship). ,-117.841987,33.649718
367,"University of California , Irvine (UCI)",Sociology,22997.0,0.79,2020-2021,1st,"100% health insurance coverage, most fees covered (~$500 not covered), one-time $1,500 summer funding, 5 years guaranteed campus housing",-117.841987,33.649718
368,"University of Texas , Austin (UT)",sociology,20000.0,0.88,2020-2021,1st,,-97.734734,30.269594
369,"University at Buffalo , SUNY",Social Work ,28000.0,1.33,2020-2021,,,103.776405,1.328776
370,"University of California , Los Angeles (UCLA)",Sociology ,29000.0,1.12,2020-2021,1st,"Cota-Robles Fellowship from graduate division raises stipend to $25,000 instead of $24,000 for 9 months. $4,000 for summer is for first year only. ",-118.444563,34.071048
371,"University of North Carolina , Chapel Hill (UNC)",Biomedical Engineering,30000.0,1.35,2020-2021,1st,Performing a lab rotation for the 1st year.,-79.049486,35.9083286875
372,"University of Texas , Austin (UT)",Economics,20000.0,0.88,2020-2021,1st,,-97.734734,30.269594
373,"University of Michigan , Ann Arbor (UM)",Macromolecular Science and Engineering,33000.0,1.43,2020-2021,1st,Health insurance 100% covered by the department. ,-83.73849799999999,42.2771875
374,University of Miami (UM),Business,32225.0,1.35,2020-2021,1st,,-80.277772,25.720069
375,University of Southern California (USC),Molecular and Computational Biology,31898.0,1.23,2019-2020,5th,,-118.14106,34.146771
376,University of Southern California (USC),Molecular and Computational Biology,31904.0,1.23,2018-2019,4th,,-118.14106,34.146771
377,University of Southern California (USC),Molecular and Computational Biology,29904.0,1.16,2017-2018,3rd,,-118.14106,34.146771
378,University of Southern California (USC),Molecular and Computational Biology,29874.0,1.15,2016-2017,2nd,,-118.14106,34.146771
379,University of Southern California (USC),Molecular and Computational Biology,29885.0,1.15,2015-2016,1st,,-118.14106,34.146771
380,"University of California , Santa Barbara (UCSB)",Film Studies ,23000.0,0.88,2020-2021,1st,Not a great package. ,-119.84887,34.413272
381,Portland State University (PSU),I/O Psychology,9220.0,0.39,2020-2021,1st,,-122.6742,45.5202
382,SUNY College of Environmental Science and Forestry,EFB,12288.0,0.58,2019-2020,1st,This is the pay for developing research while having 20 hours of teaching responsibility per week,-76.135762,43.0349625
